Number,Street,County,Zipcode,Longitude,Latitude
146,Maranacook Shore Rd,Kennebec,04355,-69.957907,44.3742637
151,Maranacook Shore Rd,Kennebec,04355,-69.957522,44.3748971
171,Maranacook Shore Rd,Kennebec,04355,-69.9584442,44.3760282
111,Mayo Rd,Kennebec,04355,-69.9591492,44.3650073
98,Mildred Ln,Kennebec,04355,-69.9613407,44.3616488
102,Mildred Ln,Kennebec,04355,-69.961398,44.3613152
100,Newton Rd,Kennebec,04355,-69.952708,44.3830129
69,Nobis Point Rd,Kennebec,04355,-69.9603271,44.3533746
84,Nobis Point Rd,Kennebec,04355,-69.9616205,44.354201
85,Nobis Point Rd,Kennebec,04355,-69.9603329,44.3541128
88,Nobis Point Rd,Kennebec,04355,-69.9614567,44.3545445
93,Nobis Point Rd,Kennebec,04355,-69.9606118,44.3546686
96,Nobis Point Rd,Kennebec,04355,-69.9613892,44.3550177
97,Nobis Point Rd,Kennebec,04355,-69.9607193,44.3551089
100,Nobis Point Rd,Kennebec,04355,-69.961022,44.355588
105,Nobis Point Rd,Kennebec,04355,-69.9604773,44.3556556
18,Oak Shores Dr,Kennebec,04355,-69.9643613,44.3556814
100,Packard Shores Rd,Kennebec,04355,-69.9530156,44.360179
108,Packard Shores Rd,Kennebec,04355,-69.9528103,44.3606759
116,Packard Shores Rd,Kennebec,04355,-69.9523744,44.3612692
132,Packard Shores Rd,Kennebec,04355,-69.9524035,44.3626779
148,Packard Shores Rd,Kennebec,04355,-69.9517574,44.3634666
93,Poulin Dr,Kennebec,04355,-69.9636728,44.3576903
103,Poulin Dr,Kennebec,04355,-69.9632443,44.3583467
105,Poulin Dr,Kennebec,04355,-69.9630758,44.3587847
115,Poulin Dr,Kennebec,04355,-69.9632521,44.3592019
8,Prosperity Ln,Kennebec,04355,-69.9595964,44.3647244
14,Prosperity Ln,Kennebec,04355,-69.9598219,44.3643129
92,Thorp Shores Rd,Kennebec,04355,-69.9491887,44.3695424
98,Thorp Shores Rd,Kennebec,04355,-69.9487522,44.3700997
106,Thorp Shores Rd,Kennebec,04355,-69.9487885,44.3704055
112,Thorp Shores Rd,Kennebec,04355,-69.9484277,44.3709937
116,Thorp Shores Rd,Kennebec,04355,-69.9483872,44.3712056
127,Thorp Shores Rd,Kennebec,04355,-69.9478863,44.372056
136,Thorp Shores Rd,Kennebec,04355,-69.9488093,44.3720844
146,Thorp Shores Rd,Kennebec,04355,-69.9495739,44.3727938
152,Thorp Shores Rd,Kennebec,04355,-69.9497604,44.3730758
158,Thorp Shores Rd,Kennebec,04355,-69.9504837,44.3735604
172,Thorp Shores Rd,Kennebec,04355,-69.9506797,44.3748147
174,Thorp Shores Rd,Kennebec,04355,-69.9502523,44.373999
176,Thorp Shores Rd,Kennebec,04355,-69.9509427,44.3751636
100,Touisset Point Rd,Kennebec,04355,-69.9592344,44.3844528
122,Touisset Point Rd,Kennebec,04355,-69.9603877,44.3831962
126,Touisset Point Rd,Kennebec,04355,-69.9604048,44.3827054
138,Touisset Point Rd,Kennebec,04355,-69.9616621,44.3824382
150,Touisset Point Rd,Kennebec,04355,-69.9625676,44.3817734
160,Touisset Point Rd,Kennebec,04355,-69.963194,44.3813135
162,Touisset Point Rd,Kennebec,04355,-69.9638272,44.3812676
9,White Birch Dr,Kennebec,04355,-69.9626949,44.3765191
14,White Birch Dr,Kennebec,04355,-69.9624074,44.3769762
102,Winthrop Rd,Kennebec,04355,-69.9648787,44.3814658
104,Winthrop Rd,Kennebec,04355,-69.9648446,44.3809214
105,Winthrop Rd,Kennebec,04355,-69.9656958,44.3811528
25,Woodham Dr,Kennebec,04355,-69.9627043,44.3602373
26,Woodham Dr,Kennebec,04355,-69.9620723,44.3611069
36,Woodham Dr,Kennebec,04355,-69.9617712,44.3603487
44,Woodham Dr,Kennebec,04355,-69.9620272,44.3598874
104,Froggy Bottom Ln,Kennebec,04355,-69.9598923,44.3636326
81,Froggy Bottom Ln,Kennebec,04355,-69.961252,44.3627434
120,Mayo Rd,Kennebec,04355,-69.9583663,44.3650994
4,Barred Owl Ln,Kennebec,04355,-69.9516592,44.3763911
1046,Main St,Kennebec,04355,-69.9569948,44.3883833
56,Lakeview Dr,Kennebec,04355,-69.961011,44.3771725
1030,Main St,Kennebec,04355,-69.9559882,44.389022
1052,Main St,Kennebec,04355,-69.9573711,44.3879795
1066,Main St,Kennebec,04355,-69.9587863,44.3869954
90,Cove Rd,Kennebec,04355,-69.9640682,44.3542569
83,Poulin Dr,Kennebec,04355,-69.9639914,44.3572285
66,Greenes Way,Kennebec,04355,-69.9534997,44.350956
104,Newton Rd,Kennebec,04355,-69.9532471,44.3829679
3,Alices Way,Kennebec,04355,-69.9507659,44.3793649
14,Maindelay Rd,Kennebec,04355,-69.9503451,44.3731385
12,Maindelay Rd,Kennebec,04355,-69.9509704,44.3729982
138,Thorp Shores Rd,Kennebec,04355,-69.9491634,44.372248
92,Packard Shores Rd,Kennebec,04355,-69.9530797,44.3594898
1018,Main St,Kennebec,04355,-69.9549972,44.3890708
1038,Main St,Kennebec,04355,-69.9564413,44.3887031
1036,Main St,Kennebec,04355,-69.9561715,44.3883272
1056,Main St,Kennebec,04355,-69.9573684,44.3874259
