Longitude,Latitude,Altitude
-69.969751,44.312807,69.179276
-69.969772,44.313127,69.457448
-69.969796,44.313499,67.446351
-69.969897,44.313696,64.797239
-69.970004,44.313858,64.036402
-69.970063,44.314007,64.03638
-69.969713,44.314038,65.958427
-69.96952,44.31429,64.957589
-69.969309,44.314479,64.498649
-69.968888,44.314782,64.406872
-69.968614,44.314944,65.38984
-69.968234,44.315056,65.342993
-69.967938,44.315061,65.412604
-69.967615,44.315237,66.032443
-69.967425,44.315566,64.036429
-69.967058,44.315749,64.897215
-69.966716,44.315911,68.362438
-69.966468,44.316137,67.81537
-69.966327,44.31641,66.525108
-69.965972,44.316804,64.933728
-69.965741,44.317026,66.282034
-69.965603,44.31719,64.354581
-69.965279,44.31717,66.211373
-69.96499,44.317304,65.285255
-69.964696,44.31754,65.938545
-69.964608,44.317712,65.133586
-69.964381,44.31782,66.985583
-69.964038,44.317884,64.711911
-69.963659,44.317881,64.444426
-69.963367,44.318,64.438189
-69.963277,44.318368,64.77336
-69.963076,44.318706,65.653406
-69.962784,44.318903,64.797759
-69.962546,44.318951,69.631294
-69.962383,44.319226,65.590463
-69.962058,44.319154,64.364683
-69.961908,44.31895,65.668275
-69.961745,44.318758,64.657502
-69.961364,44.31862,64.036598
-69.961018,44.318509,64.944642
-69.96071,44.31853,64.074023
-69.960129,44.318507,64.869234
-69.959609,44.3185,64.525492
-69.959014,44.318616,65.528289
-69.958592,44.318842,64.735133
-69.95821,44.319039,64.616937
-69.957885,44.319327,64.846736
-69.957736,44.319684,64.193056
-69.957517,44.320137,64.077683
-69.95755,44.320483,64.036535
-69.95756,44.32072,64.036395
-69.95749,44.321102,64.250393
-69.957265,44.321505,64.036734
-69.956936,44.321752,65.505123
-69.956826,44.322185,64.360462
-69.956736,44.322394,64.214184
-69.956777,44.322615,64.03668
-69.956568,44.32285,64.036775
-69.956359,44.323126,64.200627
-69.956212,44.323478,64.065973
-69.955989,44.32396,64.036386
-69.955888,44.324193,65.728204
-69.955828,44.324673,64.036527
-69.955799,44.325026,66.068035
-69.955694,44.325391,66.086766
-69.955526,44.325745,66.756
-69.95526,44.326005,67.123307
-69.955077,44.326163,70.56453
-69.955126,44.326526,64.036442
-69.95503,44.326738,67.843947
-69.954961,44.327065,66.247944
-69.954714,44.327462,65.19292
-69.954471,44.327745,66.504395
-69.954233,44.328084,66.574684
-69.953936,44.328354,65.652612
-69.953607,44.328685,65.137744
-69.953467,44.328971,64.694383
-69.953249,44.32924,64.364466
-69.952926,44.329353,64.416282
-69.95254,44.329461,67.44841
-69.952044,44.329654,65.257287
-69.951643,44.329751,65.135067
-69.951283,44.329825,65.015167
-69.951058,44.330044,65.086659
-69.950749,44.330588,66.037579
-69.950714,44.330905,64.740523
-69.950726,44.33125,64.91381
-69.950643,44.331605,64.036365
-69.950356,44.331934,65.676094
-69.949975,44.332239,67.910612
-69.949672,44.33254,65.850394
-69.94939,44.332781,65.694552
-69.949199,44.333102,64.502491
-69.948847,44.333428,64.673939
-69.948592,44.333608,66.061075
-69.948491,44.3339,64.643151
-69.948359,44.334344,64.494506
